srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x0800,*,192.168.1.1,*,17,67,*,1400,*,*,684,2
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,192.168.1.1,17,*,67,1400,*,*,0,0
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,*,17,*,32108,1300,*,*,528,8
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,334,1
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,0,0
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,47.74.255.9,1,*,*,1001,3,3,0,0
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,47.88.59.209,1,*,*,1001,3,3,0,0
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,192.168.1.1,17,*,53,1001,*,*,539,7
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,*,1,*,*,1000,*,*,180,2
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,123,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,*,17,*,123,1000,*,*,0,0
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,*,*,*,*,17,53,*,1000,*,*,1200,8
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,*,*,*,*,17,*,53,1000,*,*,77,1
*,0c:8c:24:0b:39:7b,0x0806,*,*,*,*,*,*,1000,*,*,966,23
0c:8c:24:0b:39:7b,*,0x0806,*,*,*,*,*,*,1000,*,*,1008,24
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,api.eu.xiaoyi.com,6,*,443,855,*,*,6908,60
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,api.eu.xiaoyi.com,6,*,443,855,*,*,5508,46
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,api.eu.xiaoyi.com,6,*,80,855,*,*,444,5
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,47.74.255.9,17,*,32100,810,*,*,1708,14
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,47.90.240.160,17,*,32100,810,*,*,1708,14
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,47.88.59.209,17,*,32100,810,*,*,1708,14
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,*,17,*,*,800,*,*,138,3
0c:8c:24:0b:39:7b,f4:f2:6d:57:79:8e,0x0800,*,*,*,6,*,*,800,*,*,222,3
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x0800,*,api.eu.xiaoyi.com,*,6,443,*,750,*,*,18376,52
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x0800,*,api.eu.xiaoyi.com,*,6,443,*,750,*,*,13888,40
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x0800,*,api.eu.xiaoyi.com,*,6,80,*,750,*,*,647,4
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x0800,*,47.74.255.9,*,17,32100,*,710,*,*,810,15
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x0800,*,47.90.240.160,*,17,32100,*,710,*,*,810,15
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x0800,*,47.88.59.209,*,17,32100,*,710,*,*,810,15
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,700,*,*,0,0
f4:f2:6d:57:79:8e,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,700,*,*,0,0
0c:8c:24:0b:39:7b,*,0x888e,*,*,*,*,*,*,650,*,*,113,1
*,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,600,*,*,0,0
